Mode,Cycle,Train_Image_Index,True Label,Sampling Reason,Entropy_Score,Confidence_Score
reset,1,12958,8,Initial_Random,,
reset,1,24770,3,Initial_Random,,
reset,1,51847,1,Initial_Random,,
reset,1,35524,9,Initial_Random,,
reset,1,15695,0,Initial_Random,,
reset,1,44060,0,Initial_Random,,
reset,1,42506,1,Initial_Random,,
reset,1,16768,6,Initial_Random,,
reset,1,33433,1,Initial_Random,,
reset,1,11919,7,Initial_Random,,
reset,1,6266,6,Initial_Random,,
reset,1,43459,5,Initial_Random,,
reset,1,14409,9,Initial_Random,,
reset,1,47789,6,Initial_Random,,
reset,1,34605,3,Initial_Random,,
reset,1,1663,4,Initial_Random,,
reset,1,38995,9,Initial_Random,,
reset,1,18905,4,Initial_Random,,
reset,1,6685,2,Initial_Random,,
reset,1,24569,6,Initial_Random,,
reset,1,21064,0,Initial_Random,,
reset,1,8121,6,Initial_Random,,
reset,1,45875,5,Initial_Random,,
reset,1,45835,7,Initial_Random,,
reset,1,19006,0,Initial_Random,,
reset,1,50519,9,Initial_Random,,
reset,1,14430,0,Initial_Random,,
reset,1,45218,0,Initial_Random,,
reset,1,50437,1,Initial_Random,,
reset,1,58472,2,Initial_Random,,
reset,1,24164,9,Initial_Random,,
reset,1,52556,9,Initial_Random,,
reset,1,51812,9,Initial_Random,,
reset,1,31330,7,Initial_Random,,
reset,1,37246,6,Initial_Random,,
reset,1,45146,0,Initial_Random,,
reset,1,58493,1,Initial_Random,,
reset,1,27259,5,Initial_Random,,
reset,1,20936,0,Initial_Random,,
reset,1,47425,8,Initial_Random,,
reset,1,32589,7,Initial_Random,,
reset,1,23275,9,Initial_Random,,
reset,1,50091,5,Initial_Random,,
reset,1,52483,8,Initial_Random,,
reset,1,59635,5,Initial_Random,,
reset,1,10183,9,Initial_Random,,
reset,1,56512,0,Initial_Random,,
reset,1,50354,0,Initial_Random,,
reset,1,21237,6,Initial_Random,,
reset,1,12827,4,Initial_Random,,
reset,1,39308,8,Initial_Random,,
reset,1,35058,3,Initial_Random,,
reset,1,45209,6,Initial_Random,,
reset,1,9889,9,Initial_Random,,
reset,1,17398,9,Initial_Random,,
reset,1,7671,1,Initial_Random,,
reset,1,53414,5,Initial_Random,,
reset,1,56656,1,Initial_Random,,
reset,1,32226,8,Initial_Random,,
reset,1,23634,3,Initial_Random,,
reset,1,8193,0,Initial_Random,,
reset,1,45920,2,Initial_Random,,
reset,1,34874,1,Initial_Random,,
reset,1,57246,9,Initial_Random,,
reset,1,35672,9,Initial_Random,,
reset,1,15379,3,Initial_Random,,
reset,1,33248,4,Initial_Random,,
reset,1,46043,6,Initial_Random,,
reset,1,38594,5,Initial_Random,,
reset,1,51471,3,Initial_Random,,
reset,1,31413,5,Initial_Random,,
reset,1,23347,8,Initial_Random,,
reset,1,58392,6,Initial_Random,,
reset,1,33624,3,Initial_Random,,
reset,1,10774,6,Initial_Random,,
reset,1,7327,4,Initial_Random,,
reset,1,11609,5,Initial_Random,,
reset,1,53442,9,Initial_Random,,
reset,1,7726,4,Initial_Random,,
reset,1,22860,0,Initial_Random,,
reset,1,23294,3,Initial_Random,,
reset,1,26415,0,Initial_Random,,
reset,1,47349,7,Initial_Random,,
reset,1,9843,7,Initial_Random,,
reset,1,78,1,Initial_Random,,
reset,1,58456,5,Initial_Random,,
reset,1,45076,1,Initial_Random,,
reset,1,26184,0,Initial_Random,,
reset,1,35831,1,Initial_Random,,
reset,1,24801,7,Initial_Random,,
reset,1,30969,1,Initial_Random,,
reset,1,29381,8,Initial_Random,,
reset,1,49987,0,Initial_Random,,
reset,1,56722,7,Initial_Random,,
reset,1,41604,7,Initial_Random,,
reset,1,8308,9,Initial_Random,,
reset,1,10982,1,Initial_Random,,
reset,1,37154,1,Initial_Random,,
reset,1,30390,5,Initial_Random,,
reset,1,55417,1,Initial_Random,,
reset,2,12958,8,Initial_Random,,
reset,2,24770,3,Initial_Random,,
reset,2,51847,1,Initial_Random,,
reset,2,35524,9,Initial_Random,,
reset,2,15695,0,Initial_Random,,
reset,2,44060,0,Initial_Random,,
reset,2,42506,1,Initial_Random,,
reset,2,16768,6,Initial_Random,,
reset,2,33433,1,Initial_Random,,
reset,2,11919,7,Initial_Random,,
reset,2,6266,6,Initial_Random,,
reset,2,43459,5,Initial_Random,,
reset,2,14409,9,Initial_Random,,
reset,2,47789,6,Initial_Random,,
reset,2,34605,3,Initial_Random,,
reset,2,1663,4,Initial_Random,,
reset,2,38995,9,Initial_Random,,
reset,2,18905,4,Initial_Random,,
reset,2,6685,2,Initial_Random,,
reset,2,24569,6,Initial_Random,,
reset,2,21064,0,Initial_Random,,
