Mode,Cycle,Train_Image_Index,True Label,Sampling Reason,Entropy_Score,Confidence_Score
continue,1,56494,9,Initial_Random,,
continue,1,8912,0,Initial_Random,,
continue,1,57867,7,Initial_Random,,
continue,1,38436,1,Initial_Random,,
continue,1,55158,2,Initial_Random,,
continue,1,27418,8,Initial_Random,,
continue,1,6920,3,Initial_Random,,
continue,1,58381,5,Initial_Random,,
continue,1,18342,5,Initial_Random,,
continue,1,38801,5,Initial_Random,,
continue,1,59510,0,Initial_Random,,
continue,1,30709,0,Initial_Random,,
continue,1,51,0,Initial_Random,,
continue,1,53835,2,Initial_Random,,
continue,1,6773,2,Initial_Random,,
continue,1,20024,8,Initial_Random,,
continue,1,12599,7,Initial_Random,,
continue,1,13557,9,Initial_Random,,
continue,1,18667,6,Initial_Random,,
continue,1,42944,8,Initial_Random,,
continue,1,16492,3,Initial_Random,,
continue,1,25617,2,Initial_Random,,
continue,1,20854,5,Initial_Random,,
continue,1,28088,9,Initial_Random,,
continue,1,4056,9,Initial_Random,,
continue,1,53816,1,Initial_Random,,
continue,1,25953,0,Initial_Random,,
continue,1,18026,4,Initial_Random,,
continue,1,18340,5,Initial_Random,,
continue,1,50687,8,Initial_Random,,
continue,1,43258,0,Initial_Random,,
continue,1,48036,9,Initial_Random,,
continue,1,52995,0,Initial_Random,,
continue,1,40907,6,Initial_Random,,
continue,1,15485,7,Initial_Random,,
continue,1,15506,2,Initial_Random,,
continue,1,35769,4,Initial_Random,,
continue,1,29777,8,Initial_Random,,
continue,1,9327,7,Initial_Random,,
continue,1,40976,1,Initial_Random,,
continue,1,34775,0,Initial_Random,,
continue,1,31544,3,Initial_Random,,
continue,1,53318,6,Initial_Random,,
continue,1,31975,3,Initial_Random,,
continue,1,39837,6,Initial_Random,,
continue,1,45875,5,Initial_Random,,
continue,1,58911,6,Initial_Random,,
continue,1,54424,2,Initial_Random,,
continue,1,56954,0,Initial_Random,,
continue,1,59506,9,Initial_Random,,
continue,1,48562,7,Initial_Random,,
continue,1,546,3,Initial_Random,,
continue,1,22281,8,Initial_Random,,
continue,1,10584,8,Initial_Random,,
continue,1,29390,9,Initial_Random,,
continue,1,3598,9,Initial_Random,,
continue,1,41547,6,Initial_Random,,
continue,1,16452,6,Initial_Random,,
continue,1,6341,0,Initial_Random,,
continue,1,2673,7,Initial_Random,,
continue,1,57319,2,Initial_Random,,
continue,1,9678,1,Initial_Random,,
continue,1,35909,2,Initial_Random,,
continue,1,51651,1,Initial_Random,,
continue,1,22574,4,Initial_Random,,
continue,1,14110,0,Initial_Random,,
continue,1,36442,1,Initial_Random,,
continue,1,12956,7,Initial_Random,,
continue,1,31949,3,Initial_Random,,
continue,1,16061,1,Initial_Random,,
continue,1,36110,1,Initial_Random,,
continue,1,37268,9,Initial_Random,,
continue,1,50025,3,Initial_Random,,
continue,1,47743,2,Initial_Random,,
continue,1,52127,9,Initial_Random,,
continue,1,18935,9,Initial_Random,,
continue,1,45275,3,Initial_Random,,
continue,1,49449,6,Initial_Random,,
continue,1,12367,1,Initial_Random,,
continue,1,39633,9,Initial_Random,,
continue,1,16197,7,Initial_Random,,
continue,1,802,6,Initial_Random,,
continue,1,34495,2,Initial_Random,,
continue,1,46503,4,Initial_Random,,
continue,1,7796,2,Initial_Random,,
continue,1,15735,4,Initial_Random,,
continue,1,42417,8,Initial_Random,,
continue,1,5061,5,Initial_Random,,
continue,1,26293,4,Initial_Random,,
continue,1,43743,2,Initial_Random,,
continue,1,19482,1,Initial_Random,,
continue,1,38257,7,Initial_Random,,
continue,1,51305,1,Initial_Random,,
continue,1,7198,9,Initial_Random,,
continue,1,16917,8,Initial_Random,,
continue,1,46534,3,Initial_Random,,
continue,1,21807,9,Initial_Random,,
continue,1,1878,9,Initial_Random,,
continue,1,47212,8,Initial_Random,,
continue,1,12043,8,Initial_Random,,
continue,2,56494,9,Initial_Random,,
continue,2,8912,0,Initial_Random,,
continue,2,57867,7,Initial_Random,,
continue,2,38436,1,Initial_Random,,
continue,2,55158,2,Initial_Random,,
continue,2,27418,8,Initial_Random,,
continue,2,6920,3,Initial_Random,,
continue,2,58381,5,Initial_Random,,
continue,2,18342,5,Initial_Random,,
continue,2,38801,5,Initial_Random,,
continue,2,59510,0,Initial_Random,,
continue,2,30709,0,Initial_Random,,
continue,2,51,0,Initial_Random,,
continue,2,53835,2,Initial_Random,,
